name,official_name,state,country,population,pop_year,tier,type,geoid,lat,lon,coord_source
North Charleston,North Charleston city,SC,US,126005,2024,1,incorporated place,4550875,32.917881,-80.065,census_gazetteer
Simi Valley,Simi Valley city,CA,US,125778,2024,1,incorporated place,0672016,34.266887,-118.748458,census_gazetteer
Topeka,Topeka city,KS,US,125467,2024,1,incorporated place,2071000,39.034673,-95.696191,census_gazetteer
Wilmington,Wilmington city,NC,US,125284,2024,1,incorporated place,3774440,34.209225,-77.885767,census_gazetteer
Lakeland,Lakeland city,FL,US,124990,2024,1,incorporated place,1238250,28.055496,-81.954772,census_gazetteer
Thousand Oaks,Thousand Oaks city,CA,US,124229,2024,1,incorporated place,0678582,34.19329,-118.874235,census_gazetteer
Concord,Concord city,CA,US,124016,2024,1,incorporated place,0616000,37.972184,-122.001587,census_gazetteer
Rochester,Rochester city,MN,US,123624,2024,1,incorporated place,2754880,44.014299,-92.478592,census_gazetteer
Vallejo,Vallejo city,CA,US,123475,2024,1,incorporated place,0681666,38.106909,-122.262339,census_gazetteer
Ann Arbor,Ann Arbor city,MI,US,122925,2024,1,incorporated place,2603000,42.276147,-83.73086,census_gazetteer
Broken Arrow,Broken Arrow city,OK,US,122756,2024,1,incorporated place,4009050,36.036529,-95.780996,census_gazetteer
Fairfield,Fairfield city,CA,US,122646,2024,1,incorporated place,0623182,38.26206,-122.032386,census_gazetteer
Lafayette,Lafayette city,LA,US,122280,2024,1,incorporated place,2240735,30.2056,-92.028058,census_gazetteer
Hartford,Hartford city,CT,US,122129,2024,1,incorporated place,0937000,41.765933,-72.681579,census_gazetteer
Arvada,Arvada city,CO,US,121873,2024,1,incorporated place,0803455,39.833728,-105.150306,census_gazetteer
Berkeley,Berkeley city,CA,US,121749,2024,1,incorporated place,0606000,37.865673,-122.298725,census_gazetteer
Independence,Independence city,MO,US,121629,2024,1,incorporated place,2935000,39.085469,-94.352082,census_gazetteer
Billings,Billings city,MT,US,121483,2024,1,incorporated place,3006550,45.788538,-108.552475,census_gazetteer
Waterloo,Waterloo,ON,CA,121436,2021,1,census subdivision,3530016,43.4668,-80.51639,census_gazetteer
Cambridge,Cambridge city,MA,US,121186,2024,1,incorporated place,2511000,42.376043,-71.11868,census_gazetteer
Lowell,Lowell city,MA,US,120418,2024,1,incorporated place,2537000,42.638995,-71.32102,census_gazetteer
Terrebonne,Terrebonne,QC,CA,119944,2021,1,census subdivision,2464008,45.70004,-73.64732,census_gazetteer
Odessa,Odessa city,TX,US,119748,2024,1,incorporated place,4853388,31.880461,-102.345314,census_gazetteer
High Point,High Point city,NC,US,118601,2024,1,incorporated place,3731400,35.990803,-79.992713,census_gazetteer
League City,League City city,TX,US,118456,2024,1,incorporated place,4841980,29.490064,-95.109093,census_gazetteer
Antioch,Antioch city,CA,US,118453,2024,1,incorporated place,0602252,37.978336,-121.796064,census_gazetteer
Richardson,Richardson city,TX,US,118221,2024,1,incorporated place,4861796,32.972291,-96.708069,census_gazetteer
Goodyear,Goodyear city,AZ,US,118186,2024,1,incorporated place,0428380,33.254031,-112.366472,census_gazetteer
Pompano Beach,Pompano Beach city,FL,US,118104,2024,1,incorporated place,1258050,26.241622,-80.133851,census_gazetteer
Saanich,Saanich,BC,CA,117735,2021,1,census subdivision,5917021,48.54964,-123.36931,census_gazetteer
Nampa,Nampa city,ID,US,117350,2024,1,incorporated place,1656260,43.584972,-116.562935,census_gazetteer
Menifee,Menifee city,CA,US,117041,2024,1,incorporated place,0646842,33.689858,-117.184383,census_gazetteer
Las Cruces,Las Cruces city,NM,US,116998,2024,1,incorporated place,3539380,32.326444,-106.789695,census_gazetteer
Clearwater,Clearwater city,FL,US,116811,2024,1,incorporated place,1212875,27.979419,-82.771256,census_gazetteer
West Jordan,West Jordan city,UT,US,116688,2024,1,incorporated place,4982950,40.602666,-112.001255,census_gazetteer
New Braunfels,New Braunfels city,TX,US,116477,2024,1,incorporated place,4850820,29.699306,-98.115127,census_gazetteer
Manchester,Manchester city,NH,US,116386,2024,1,incorporated place,3345140,42.984941,-71.444131,census_gazetteer
Miami Gardens,Miami Gardens city,FL,US,116173,2024,1,incorporated place,1245060,25.948892,-80.243585,census_gazetteer
Waterbury,Waterbury city,CT,US,115908,2024,1,incorporated place,0980000,41.5585,-73.036685,census_gazetteer
Provo,Provo city,UT,US,115479,2024,1,incorporated place,4962470,40.245312,-111.645057,census_gazetteer
Evansville,Evansville city,IN,US,115395,2024,1,incorporated place,1822000,37.987737,-87.534705,census_gazetteer
Richmond,Richmond city,CA,US,115353,2024,1,incorporated place,0660620,37.952278,-122.360609,census_gazetteer
Westminster,Westminster city,CO,US,115302,2024,1,incorporated place,0883835,39.880122,-105.061513,census_gazetteer
Elgin,Elgin city,IL,US,114701,2024,1,incorporated place,1723074,42.038963,-88.325671,census_gazetteer
Conroe,Conroe city,TX,US,114581,2024,1,incorporated place,4816432,30.328717,-95.4846,census_gazetteer
Greeley,Greeley city,CO,US,114363,2024,1,incorporated place,0832155,40.416576,-104.77328,census_gazetteer
Lansing,Lansing city,MI,US,114336,2024,1,incorporated place,2646000,42.714341,-84.560889,census_gazetteer
Buckeye,Buckeye city,AZ,US,114334,2024,1,incorporated place,0407940,33.431573,-112.641626,census_gazetteer
